*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
تَقْلِيل	"diminution, reduction, decrease (not تخفيف)"
أَسْهَل	easier/easiest
*** 3306 - 3320 (/course/66669/1-5000-arabic-frequency-audio/221/)	
وِفاق	"agreement, accord; reconciliation"
جِنائِيّ	adj. criminal (not مجرم)
اِتِّحادِيّ	"unionist, federal"
حَفْر	"digging, drilling; excavation"
*** 3321 - 3335 (/course/66669/1-5000-arabic-frequency-audio/222/)	
جَمْر	embers
بُرُوز	emergence; prominence
طارِئ	emergency; exceptional
مُهاجِر	emigrant; immigrant; adj. migrating
عاطِفِيّ	emotional; affectionate
مُشَدِّد	emphasizing; strengthening
فاضٍ	empty; unoccupied; free (not busy)
تَمْكِين	"enabling, making possible"
زَوال	ending; disappearance; noon
مُزْمِن	"enduring, chronic"
مُحَرِّك	engine
هَنْدَسِيّ	engineering; technical
كَفِيل	ensuring (ب sth.); n. sponsor
اِلْتِحاق	entering; joining; affiliation (not انضمام)
لَهْو	"entertainment, amusement"
سَواد	blackness
شُيُوعِيّ	Communist
صَواب	"correct, true (not صحيح، صائب، صح)"
حَثَّ	"to urge, incite s.o. to do sth."
*** 3336 - 3350 (/course/66669/1-5000-arabic-frequency-audio/223/)	
حَماس	"enthusiasm; fortitude, bravery"
رُمَّة	entirety; بِرُمَّتِهِ completely
مَبْعُوث	envoy; delegate; representative
وَباء	"epidemic, disease; scourge"
مَثِيل	"equal, match; peer"
مُتَساوٍ	"equivalent, similar (not مساو، مماثل)"
حِقْبَة	"era, time period (not عصر، فترة، عهد)"
مَحْو	eradication; wiping out
غَلَط	"error, mistake; (Dia.) adj. wrong"
تَصْعِيد	"escalation, intensification"
فِرار	"escape, desertion (من from) (not هروب، مفر)"
مَفَرّ	escape; لا مَفَرَّ مِنْهُ (it's) inevitable
هُرُوب	"escaping, fleeing; deserting (not فرار، مفر)"
خِصِّيصاً	"especially, specifically"
تَجَسُّس	espionage
بَقَر	(coll.) cows; (one) cow
خَطْف	abduction; hijacking (not VIII)
مُعَلِّق	commenting; n. commentator
عَرِيق	"deep-rooted; noble, aristocratic"
مَرْكَبَة	vehicle; cart; (space) shuttle (not عربة)
فَكّ	dismantling; breaking up; untying (I)
*** 3351 - 3365 (/course/66669/1-5000-arabic-frequency-audio/224/)	
جَوْهَرِيّ	"essential; core, central"
عِرْقِيّ	"ethnic, racial"
يُورُو	euro
خَبِيث	evil; malignant
مُبالَغَة	(vn III) exaggeration
قُدْوَة	"example, role model; pattern (not نموذج)"
فائِق	exceeding; outstanding
فَخامَة	"excellence, eminence (not سعادة)"
تَفَوُّق	excellence; superiority (not امتياز)
فَضِيل	"excellent; virtuous; eminent (not فاضل، شريف)"
اِسْتِثْنائِيّ	"exceptional, irregular"
فَرْط	"excess, excessive amount, hyper-"
مَبْذُول	exerted; n. expenditure; effort (not مجهود)
مَنْفىً	"exile, banishment"
تَوَسُّع	expansion (v. V)
تَشْكِيلَة	"assortment, group; lineup"
جَرَس	bell
عُرُوبَة	Arabism
*** 3366 - 3380 (/course/66669/1-5000-arabic-frequency-audio/225/)	
اِتِّساع	"expansion, widening (VII)"
جالِيَة	"expatriate community, colony"
تَحَسُّب	"expectation / anticipation (not توقع، أمل، انتظار)"
مَجْهُود	expended (efforts); n. effort(s)
فَوات	"expiration, passing (time, deadline)"
تَوْضِيح	"explanation, clarification"
ناسِف	"explosive, exploding"
تَصْدِير	exporting
مُعْرِب	expressing عن (opinion)
إِظْهار	"expressing, showing (inf IV)"
طَرْد	"expulsion; firing; n. parcel, package"
فَناء	"extinction, doom"
اِسْتِخْراج	extraction; removal (not إخراج)
تَطَرُّف	"extremism, radicalism"
مُتَشَدِّد	"extremist, fanatic; strict, intense"
حَسْبَما/حَسَبَما	according to (& sentence)
عَزاء	"consolation, comfort; condolence(s) (not المواساة)"
مَرْسُوم	decreed; drawn; charted; n. decree
سِتار	"veil, curtain"
*** 3381 - 3395 (/course/66669/1-5000-arabic-frequency-audio/226/)	
عِيان	"eyesight, (plain) view"
نَسِيج	"fabric, tissue, textile (not قماش)"
واجِهَة	façade; front; (computer) interface
قُبالَة	"facing, in front of"
فاشِل	"failed, failing; a failure"
خَيْبَة	failure; خَيْبَة أَمَلٍ disappointment
تَدَنٍّ	"fall, decline; sinking (not انخفاض، هبوط، تراجع)"
كاذِب	"false; deceitful; n. pl. -uun, كَذَبَة liar"
مَأْلُوف	"familiar, typical; customary (not معروف)"
أُسَرِيّ	"family, domestic (not عائلي)"
عائِلِيّ	"family, domestic, familial (not أسري)"
شَهِير	"famous, well-known (not مشهور)"
تَعَصُّب	"fanaticism, extremism; intolerance"
صِيام	"fasting, abstinence (not صوم)"
صَوْم	"fasting, abstinence (not صيام)"
حافَة	"border, edge, side; seam, hem"
مَرْجِعِيَّة	authority; authoritative source
أُسْبُوعِيّ	adj. weekly
*** 3396 - 3410 (/course/66669/1-5000-arabic-frequency-audio/227/)	
سِمْنَة	fat; obesity
دَهْر	"fate, fortune; lifetime, eternity (not أبد)"
خَشْيَة	"fear, anxiety; concern (not خوف، قلق)"
تَغْذِيَة	"feeding, nutrition (not غذاء)"
وِجْدان	"feeling, emotion; conscience (not ضمير، وعي)"
تَجاهُل	feigned ignorance; disregard
اِثْنانِ	two; اِثْنا عَشَرَ twelve
أَيُّها	fem. أَيَّتُها oh!
أَبْيَض	white
زَعْلان	"angry (على/من with/at) (not غضبان، مستاء)"
سَبْعَة	fem. سَبْع seven; سَبْعَةَ عَشَرَ seventeen
أَسْمَر	"brown, tanned (not بني)"
أَسْوَد	black
أَصْغَر	smaller/smallest
تَخْصِيب	fertilization; enrichment
اللَّواتِي	"(fem.pl.) who, whom"
اِدِّعاء	"allegation, claim; prosecution"
جَذْب	attraction; gravitation (not جاذبية)
تَنْمَوِيّ	adj. development-related
*** 3411 - 3425 (/course/66669/1-5000-arabic-frequency-audio/228/)	
جَنِين	fetus; germ
خانَة	"field, block; cell (spreadsheet)"
خامِس	fifth (ordinal)
خَمْسِين	fiftieth year; الخمسينات the fifties
اِقْتِتال	fighting (each other)
قِتالِيّ	"fighting, battle (adj)"
مِلْء	filling; capacity; quantity
عُثُور	"finding, coming across على sth."
فِقْه	fiqh (Islamic jurisprudence); science
نارِيّ	"fire, fiery; gunfire (adj)"
إِسْعاف	first aid; سَيّارَة إِسْعاف ambulance
فِطْر	fitr (end of the Ramadan fast)
رايَة	"flag, banner (not لافتة)"
لَهَب	flame (not لهيب)
لَهِيب	flame (not لهب)
تَمَسُّك	"adherence, commitment (ب to) (not التزام، تعهد)"
تَصْنِيف	classification; sorting (not توصيف)
بُغْيَة	wish; purpose
مُعاهَدَة	"treaty, accord (not مِيثاق، اتفاقية)"
*** 3426 - 3440 (/course/66669/1-5000-arabic-frequency-audio/229/)	
مُرُونَة	flexibility
غَمْرَة	flood; pl. غِمار heat (of conflict)
أَرْضِيَّة	"floor, basis; background"
طابِق	"floor, story"
تَدَفُّق	"flow, stream, flood; influx, invasion"
زَهْرَة	flower; (fig.) splendor (not وردة)
ضَباب	"fog, mist; vapor"
طَيّ	"fold, crease; فِي طَيّ within, inside"
مُتَّبَع	"followed, observed"
مِشان/مِنْشان	for; conj. so that
مَمْنُوع	"forbidden, prohibited, banned (not محرم)"
مُحَرَّم	forbidden (not ممنوع); n. مُحَرَّمات taboos
عَنْوَة	"force, violence (not عنف); عَنْوَةً forcibly, by force"
مُضْطَرّ	"forced, obligated إلى to do sth."
جَبِين	"forehead, brow"
مُعْتاد	"accustomed على to sth. ; typical, usual"
مُتَتالٍ	"consecutive, successive (not متعاقب، متتابع)"
مُلِحّ	"urgent, critical (≠ طارئ ،حاسم)"
اِنْقِطاع	"discontinuation, breaking off"
حارَبَ	to wage war against s.o./sth. (not خاضَ)
لَفَّ	"to wrap sth.; to turn, rotate"
تَجْمِيل	"embellishment, decoration (not زِينَة)"
*** 3441 - 3455 (/course/66669/1-5000-arabic-frequency-audio/230/)	
ضُحىً	forenoon
تَزْوِير	forgery; falsification
نِسْيان	forgetfulness; oblivion
قالِب	"form, model; mold"
قُدُماً	"forwards, forward"
مُؤَسِّس	founding; n. founder
رُباعِيّ	four-part; n. quadrangle; quartet
اِنْقِسام	"fragmentation, schism; disruption (VII)"
هَيْكَل	framework; skeleton; temple
وُدِّيّ	"friendly, cordial, warm"
مَوَدَّة	"friendship, affection"
صُحْبَة	friendship; بِصحبة accompanied by
هَوْل	"fright, shock"
مُخِيف	"frightful, terrifying (not رهيب)"
منين	from where
شَراب	"beverage, drink"
مُجَمِّع	"collecting, gathering; n. collector"
مُفَوَّضِيَّة	"delegation, legation"
*** 3456 - 3470 (/course/66669/1-5000-arabic-frequency-audio/231/)	
أَمامِيّ	"front, forward (adj)"
حُدُودِيّ	"frontier, border (adj)"
جامِد	frozen; rigid
ثَمْرَة	"fruit; result, outcome"
وَظِيفِيّ	functional; practical; work-related
مَبْدَئِيّ	"fundamental, basic (not أساسي)"
جِنازَة	funeral
كَسْب	"gaining; earning; achieving, attaining (not نيل)"
غازِيّ	gaseous; soft (drinks)
بَنْزِين	gasoline
تَجْمِيع	"gathering, assembling (v. II)"
عُمُومِيّ	"general, public, common; plenary"
كَرَم	"generosity, magnanimity"
جُغْرافِيا	geography
رُكُوب	"getting in, boarding"
تَهْدِئَة	"calming; easing, relieving (tension)"
هَمَسَ	to whisper to s.o.
*** 3471 - 3485 (/course/66669/1-5000-arabic-frequency-audio/232/)	
شَبَح	"ghost, specter"
مِنْحَة	"gift, donation; grant, scholarship (not هبة)"
هِبَة	"gift, grant (not منحة)"
خُلاصَة	"gist; abstract, summary"
مُعْطىً	"given; n. مُعْطَيات facts, data, factors"
زُجاج	"glass; زُجاج أَمامِيّ windshield, (Magh.) زاج or جاج"
مَجِيد	"glorious, exalted"
عِزَّة	"glory, honor; power; (self-)esteem"
مُراد	"goal, intention; (what is) desired"
مُنْصَرِم	"gone by, elapsed (time period)"
مْلِيح	"good, nice; adv. well"
مَنْزِلَة	"grade, rank, position (not مكانة)"
تَنامٍ	"gradual growth, steady increase"
تَدْرِيجِيّ	gradual; تَدْرِيجِيّاً gradually
تَخَرُّج	graduation
رَماد	"ashes, cinders"
دِماغ	"brain (not مُخّ، عقل)"
شَحْن	"charging, loading; n. cargo"
عُبُور	"vn. crossing (border, street)"
مُطْرِب	adj. delightful; n. musician
دِفاعِيّ	"defensive, protective"
*** 3486 - 3500 (/course/66669/1-5000-arabic-frequency-audio/233/)	
إِنْجاح	granting success; n. success (IV)
مانِح	"granting, donating; n. donor (not معطى)"
يُونانِيّ	Greek
حَسْرَة	"grief, pain, sorrow, regret"
قَبْضَة	grip; fistful; seizure
مُتَزايِد	"growing, increasing, rising (adj)"
ناشِئ	growing; resulting from
اِزْدِياد	"growth, increase, rise (not ارتفاع)"
حِراسَة	"guard, escort, protection"
راعِي	"guardian; patron, sponsor; steward (not حارس، ولي أمر، وصي)"
وِصايَة	"guardianship; care, custody"
مُرْشِد	"guide, instructor; adviser, aide"
حَفْنَة	handful
سُرُور	"happiness; pleasure, delight (not سعادة، ممتع، فرح)"
مَبْسُوط	"happy; satisfied (not سعيد، مسرور، مغتبط)"
فَرْعِيّ	"branch, secondary, subdivision (adj)"
تَعْقِيد	"complication, complexity"
قَمْح	wheat
*** 3501 - 3515 (/course/66669/1-5000-arabic-frequency-audio/234/)	
عَناء	"hardship, trouble; distress"
أَذىً	harm; injury; offense (not ضرر)
أَقْسَى	"harsher/harshest, more/most cruel"
كَراهِيَّة	"hatred, loathing; dislike, aversion (not كره، حقد)"
كَرْه/كُره	hatred; عَلى كُرْهٍ unwillingly
مُتَوَجِّه	heading إلى to
هَنِيء	healthful; good; هَنِيئاً bon appétit
سَماع	"hearing, listening"
فُؤاد	"heart; mind (not قلب، عقل)"
دِفْء	"heat, warmth (not حرارة، تدفيئة)"
سَماوِيّ	"heavenly, celestial"
عِبْرِيّ	Hebrew; Jewish (state)
جَحِيم	"hell, inferno; Hell (not جَهَنَّم)"
جَهَنَّم	hell; Hell (not جَحِيم)
وِراثِيّ	"hereditary; genetic, congenital"
اِنْعِقاد	"convening, holding (meeting)"
طَرْد	"expulsion; firing; n. parcel, package"
تَنْظِيمِيّ	"adj. controlling, regulatory"
باكِر	early
*** 3516 - 3530 (/course/66669/1-5000-arabic-frequency-audio/235/)	
خَفِيّ	"hidden, secret; unseen, invisible (not كامن)"
كامِن	"hidden; latent, dormant (not خفي)"
أَسْمَى	"higher/highest, loftier/loftiest (not أعلى، أرقى)"
أَرْقَى	"higher/highest; adj. top, finest (not أعلى، أسمى)"
إِبْراز	"highlighting, emphasizing"
تَعْطِيل	hindering; derailing; interrupting (II)
تَوْظِيف	"hiring, recruitment; usage, exercise"
تارِيخِيّ	historical (not تراثي)
تُراثِيّ	historical; inherited (not تاريخي)
قابِض	"holding (company, bank)"
إِمْساك	holding; refraining from (inf IV)
مُحْتَرَم	"honorable, respected, esteemed"
مُكَرَّم	"honored, revered; مَكَّة المُكَرَّمَة Mecca"
بَشِع	"horrible, disgusting"
حِصان	horse (not خيل)
صَدارَة	"chairmanship; precedence (not أسبقية، سيادة)"
مُلَوَّن	"colored, multicolored"
مِصْداقِيَّة	credibility
تَشْخِيص	"diagnosis, analysis"
*** 3531 - 3545 (/course/66669/1-5000-arabic-frequency-audio/236/)	
عُدْوانِيّ	"hostile, aggressive"
مُعادٍ	"hostile, anti-"
اِسْتِضافَة	hosting
قديش/قديه	how many/much
شقد/شگد	how many/much
لٰكِن	"however, but; (also لاكن informally)"
كَيْفَما	"however, whatever, whichever"
إِنْسانِيَّة	"humanity, humankind (not بَشَرِيَّة)"
بَشَرِيَّة	"humankind, human race (not إِنْسانِيَّة)"
ذُلّ	"humiliation, dishonor"
مِئَة/مِائَة	"hundred, pl. مِئات hundreds"
مِئَوِيّ	hundredth; percent; centigrade
عَجَل	"hurry, rush"
مُسْرِع	"hurrying, hastening / adj, (not إِسْراع)"
إِسْراع	"hurrying, speeding up; acceleration / inf (not مُسْرِع)"
غائِب	absent
مَسْمُوح	"allowed, permitted"
مَطاف	consequence;
*** 3546 - 3560 (/course/66669/1-5000-arabic-frequency-audio/237/)	
نِفاق	hypocrisy
جَلِيد	ice (not ثلج)
مِثالِيّ	"ideal, perfect, exemplary"
إِفْطار	iftar (Ramadan evening meal)
جاهِلِيَّة	ignorance; Jahiliyah (pre-Islam)
جاهِل	ignorant; (Irq.Yem.Gul.) child
أُمِّيَّة	illiteracy
مُنَوَّر	illuminated; honored
خَيالِيّ	"imaginary, fantastic; fictitious (not وَهْمِيّ)"
وَهْمِيّ	"imagined, imaginary; fake (not خَيالِيّ)"
فَوْرِيّ	"immediate, instant; direct / adj (not مباشر)"
مُزْمَع	"imminent; scheduled, intended"
خالِد	"immortal, eternal; glorious"
خُلُود	immortality; vn. remaining
مَفْعُول	"impact, effect; result (not تأثير، تنفيذ)"
وَشْك	the verge of
طاهِر	"clean, pure; flawless, perfect; chaste"
اِقْتِراع	"voting, election"
