*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
*** 3526 - 3550 (/course/66563/koine-greek-3/142/)	
ψωμίζω	"to feed, to give away"
ὁ ὦμος	shoulder
τὸ ὠτάριον	ear
ἡ ὠφέλεια	"advantage, gain"
ὁ Ἀβαδδών	Abaddon
ἀβαρής	not burdensome
ὁ Ἀβιαθάρ	Abiathar
ἡ Ἀβιληνή	Abilene
ἡ ἀγαθοποιΐα	doing good
ὁ ἀγαθοποιός	doing good
ἡ ἀγανάκτησις	indignation
τὸ ἀγγεῖον	vessel
ἀγγέλλω	to announce
τὸ ἄγγος	container
ἀγενεαλόγητος	without genealogy
ἀγενής	"insignificant, inferior"
ἡ ἁγιότης	holiness
ἡ ἀγκάλη	arm
τὸ ἄγκιστρον	hook
ὁ ἁγνισμός	purification
τὸ ἀγνόημα	error
ἁγνῶς	"sincerely, purely"
ἄγνωστος	unknown
ἀγράμματος	"unlearned, illiterate"
ἀγραυλέω	to be outdoors
*** 3551 - 3575 (/course/66563/koine-greek-3/143/)	
ἀγρεύω	to catch
ἡ ἀγωγή	manner of life
ἡ ἀγωνία	agony
ἀδάπανος	without charge
ὁ Ἀδδί	Addi
ἡ ἀδηλότης	uncertainty
ἀδήλως	uncertainly
ἀδιάκριτος	"without partiality, mixed"
ἀδίκως	wrongfully
ὁ Ἀδμίν	Admin
ἄδολος	sincere
Ἀδραμυττηνός	Adramyttium
ὁ Ἀδρίας	Adriatic Sea
ἡ ἁδρότης	abundance
ἡ Ἄζωτος	Azotus
ἄθεος	"ungodly, godless"
ἡ ἄθλησις	struggle
ἀθροίζω	to gather together
ἀθυμέω	to be discouraged
αἴγειος	goatskin
ἡ αἰδώς	"modesty; respect, honor"
ἡ αἱματεκχυσία	shedding of blood
αἱμορροέω	to bleed
ἡ αἴνεσις	praise
τὸ αἴνιγμα	"riddle, enigma"
*** 3576 - 3600 (/course/66563/koine-greek-3/144/)	
ἡ Αἰνών	Aenon
αἱρετίζω	to choose
αἱρετικός	"factious; heretical, heretic"
αἰσθάνομαι	to perceive
ἡ αἴσθησις	"judgment, perception, knowledge"
τὸ αἰσθητήριον	senses
αἰσχροκερδῶς	greedily
ἡ αἰσχρολογία	filthy speech
ἡ αἰσχρότης	"filthiness, shamefulness"
τὸ αἰτίωμα	"charge, accusation"
αἰχμαλωτεύω	to lead captive
ὁ αἰχμάλωτος	captive
ἀκαιρέομαι	to lack opportunity
ἀκαίρως	untimely
ἀκατάγνωστος	cannot be condemned
ἀκατάλυτος	"endless, perpetual"
ἀκατάπαυστος	unceasing
τὸ Ἁκελδαμάχ	Akeldama
ἀκλινής	"unswerving, regular"
ἀκμάζω	"to ripen, to be ripe, flourish"
ἀκμήν	"yet, still"
ἀκρατής	lacking self-control
ἄκρατος	"without mixture, unmixed"
ἡ ἀκρίβεια	accuracy; precise meaning
ἀκριβής	"strict, precise, exact"
*** 3601 - 3625 (/course/66563/koine-greek-3/145/)	
τὸ ἀκροατήριον	hearing place
τὸ ἀκροθίνιον	spoils
ἀκωλύτως	unhindered
ἄκων	unwilling
ἀλάλητος	unutterable
ἡ ἀλεκτοροφωνία	"before dawn, cockcrow"
ἁλιεύω	to fish
τὸ ἀλίσγημα	pollution
ἀλλαχόθεν	from elsewhere; some other way
ἀλλαχοῦ	elsewhere
ἀλληγορέω	"to speak allegorically, figuratively"
ὁ ἀλλογενής	"stranger, foreigner, alien"
ὁ ἀλλοτριεπίσκοπος	busybody
ἀλλόφυλος	"foreign, Philistine"
ἄλλως	otherwise
ἡ ἀλόη	aloes
ἁλυκός	salt
ἄλυπος	"painless, free from pain"
ἀλυσιτελής	unprofitable
ἡ ἅλωσις	"capture, capturing"
ἀμαθής	unlearned
ἀμαράντινος	unfading
ἀμάραντος	unfading
ἀμάρτυρος	"unattested, without witness, evidence"
ἀμάω	"to mow, reap"
*** 3626 - 3650 (/course/66563/koine-greek-3/146/)	
ἡ ἀμέθυστος	amethyst
ἀμετακίνητος	unmovable
ἀμετανόητος	"impenitent, unrepentant"
ὁ ἀμήτωρ	motherless person
ἡ ἀμοιβή	"exchange, alternation, repayment"
ὁ ἀμπελουργός	"dresser of vineyard, vineyard-worker"
ὁ Ἀμπλιᾶτος	Ampliatus
ἀμύνομαι	"to defend, take revenge"
ἀμφιβάλλω	to cast a net
τὸ ἀμφίβληστρον	net
ἀμφιέζω	to clothe
ἡ Ἀμφίπολις	Amphipolis
τὸ ἄμφοδον	street block; stronghold
ἀμώμητος	blameless
τὸ ἄμωμον	amomum (a spice)
ἀνά	"up, upon, on; (adv.) thereupon; each, apiece"
ἀναβάλλω	"to lay on, throw on, to defer"
ἀναβιβάζω	"to bring up, draw, drag"
ἡ ἀνάβλεψις	recovering of sight
ἀναβοάω	to cry
ἡ ἀναβολή	delay
ἀναγκαστῶς	under compulsion
ἀναγνωρίζω	"to make known; see again, recognize"
ἡ ἀνάδειξις	showing
ἀναδίδωμι	"to deliver, to give over"
*** 3651 - 3675 (/course/66563/koine-greek-3/147/)	
ἀναζώννυμι	to gird up
ἀναζωπυρέω	"to stir up, to rekindle"
ἀναθάλλω	"to flourish, sprout anew"
τὸ ἀνάθημα	gift; accursed thing
ἡ ἀναίδεια	"persistence, shamelessness"
ἡ ἀναίρεσις	"death, destruction"
ἀνακαινίζω	to renew
ἡ ἀνάκρισις	examination
ἡ ἀνάλημψις	"receiving up, a taking up"
ἡ ἀναλογία	proportion
ἀναλογίζομαι	to consider
ἄναλος	lose saltiness
ἡ ἀνάλυσις	departure
ἀναμάρτητος	"without sin, innocent"
ἀναμένω	"to wait for, remain"
ἀνανεόω	to renew
ἀνανήφω	to regain senses
ἀναντίρρητος	undeniable; indisputable
ἀναντιρρήτως	without objection
ἀνάξιος	unworthy
ἀναξίως	unworthily
ἀναπείθω	"to persuade, dissuade"
ἀναπηδάω	"to jump up, bound, leap back; stand up"
ἀναπτύσσω	"to unfold, unroll, open"
ἀναρίθμητος	innumerable
*** 3676 - 3700 (/course/66563/koine-greek-3/148/)	
ἀνασκευάζω	to subvert
ἀνασταυρόω	to crucify again
ἀναστενάζω	to groan deeply
ἀνατάσσομαι	"to compile, write"
ἀναφωνέω	to speak out
ἡ ἀνάχυσις	pouring out; wide stream; excess
ἡ ἀνάψυξις	"refreshing; rest, repose"
ἀναψύχω	to refresh
ὁ ἀνδραποδιστής	kidnapper
ἀνδρίζομαι	"to act like a man, be brave"
ὁ Ἀνδρόνικος	Andronicus
ὁ ἀνδροφόνος	murderous; murderer
ἀνεκδιήγητος	unspeakable
ἀνεκλάλητος	unspeakable
ἀνέκλειπτος	unfailing
ἀνελεήμων	unmerciful
ἀνέλεος	merciless
ἀνεμίζω	driven with the wind
ἀνένδεκτος	impossible
ἀνεξεραύνητος	unsearchable
ἀνεξίκακος	patient
ἀνεπαίσχυντος	with no need for shame; unashamed
ἀνεύθετος	unsuitable
ὁ ἀνεψιός	"nephew, cousin"
τὸ ἄνηθον	dill
*** 3701 - 3725 (/course/66563/koine-greek-3/149/)	
ἀνήμερος	"untame, wild, savage"
ἀνθομολογέομαι	"to confess openly, sing praise, give thanks"
ὁ ἄνθραξ	"charcoal, coal"
ἡ Ἅννα	"Hannah, Anna"
ἡ ἄνοιξις	opening
ἀνταγωνίζομαι	to struggle against
ἀνταναπληρόω	to fill up
ἡ ἀνταπόδοςις	"repayment, reward"
ἀντιβάλλω	to exchange
ἀντιδιατίθημι	to oppose
ἡ ἀντίθεσις	opposition
ἀντικαθίστημι	"to resist, set in opposition to, confront"
ἀντικαλέω	to bid against
ἄντικρυς	"straight on, openly; opposite"
ἡ ἀντίλημψις	help
ἀντιλοιδορέω	to revile back
τὸ ἀντίλυτρον	ransom
ἀντιμετρέω	to measure again
ὁ Ἀντιοχεύς	Antiochian
ὁ Ἀντιπᾶς	Antipas
ἡ Ἀντιπατρίς	Antipatris
ἀντιπέρα	(+gen) opposite
ἀντιπίπτω	"to fall upon, resist"
ἀντιστρατεύομαι	to war against
τὸ ἀντίτυπος	copy; symbol
*** 3726 - 3750 (/course/66563/koine-greek-3/150/)	
ἀντίτυπος	copy; symbol
τὸ ἄντλημα	bucket
ἀντοφθαλμέω	"to look in the face, head into, face"
ἀνωτερικός	upper
ἀπάγχω	to hang
ἀπαίδευτος	uneducated; ignorant
ἀπαλγέω	to lose all feeling
ἀπαράβατος	unchangeable
ἀπαρασκεύαστος	unprepared
ὁ ἀπαρτισμός	finish
ἀπασπάζομαι	to say farewell; take leave of
ὁ ἀπάτωρ	fatherless person
τὸ ἀπαύγασμα	"brightness, radiance"
ἀπεῖπον	"to despise, spurn, forbid"
ἀπείραστος	untemptable
ἄπειρος	"unskillful, inexperienced"
ἡ ἀπέκδυσις	putting off
ἀπελαύνω	"to drive away, expel"
ὁ ἀπελεγμός	bad reputation
ὁ ἀπελεύθερος	freeman
ὁ Ἀπελλῆς	Apelles
ἀπελπίζω	"to expect, hope for; suspect, despair"
ἀπέραντος	"endless, boundless"
ἀπερισπάστως	without distraction
ἀπερίτμητος	uncircumcised
*** 3751 - 3775 (/course/66563/koine-greek-3/151/)	
ἁπλῶς	"simply, sincerely, generously"
ἀποβλέπω	"to give attention to, look upon"
ἀπόβλητος	rejected
ἀπογίνομαι	to have no part in
ἡ ἀπόδειξις	exhibiting; proof
ἀπόδημος	on a journey
ἀποδιορίζω	to cause divisions
ἀποθησαυρίζω	to store up
ἀποθλίβω	to press
ἡ ἀποκατάστασις	restitution
ἀποκλείω	"to close, enclose, confine"
τὸ ἀπόκριμα	sentence
ὁ Ἀπολλύων	Apollyon
ἡ Ἀπολλωνία	Apollonia
ἀπομάσσω	to make an impression; to wipe off
ἀπονέμω	to show; impart
ἀπονίπτω	to wash off
ἀποπίπτω	to fall
ἡ ἀπορία	perplexity
ἀπορίπτω	to throw out; jump out
ἀπορφανίζω	to separate from
τὸ ἀποςκίασμα	shadow
ἀποςτεγάζω	to uncover
ἀποςτοματίζω	to attack with questions
ἀποςτυγέω	to abhor
*** 3776 - 3800 (/course/66563/koine-greek-3/152/)	
ἀποτίνω	to repay
ἀποτολμάω	to be bold
ἀποτρέπω	to turn away
ἡ ἀπουσία	absence
ἀποφορτίζομαι	to unload
ἡ ἀπόχρησις	"using up, consuming"
ἀποψύχω	"to lose heart, faint, swoon"
ὁ Ἄππιος	Appius
ἀπρόσιτος	unapproachable
ἀπροςωπολήμπτως	impartially
ἄπταιστος	free from stumbling
ἡ Ἀπφία	Apphia
ἡ ἀρά	"curse, imprecation"
ἄραφος	seamless
ὁ Ἄραψ	"Arabian, Arab"
ἀργέω	to linger
ὁ ἀργυροκόπος	silversmith
ὁ Ἀρεοπαγίτης	Areopagite
ἡ ἀρεσκεία	desire to please
ὁ Ἁρέτας	Aretas
ὁ ἀρήν	lamb
ὁ Ἀριστόβουλος	Aristobulus
ὁ ἄρκος	bear
τὸ Ἁρμαγεδών	Armageddon
ἁρμόζω	"to adapt, suit, promise in marriage"
*** 3801 - 3825 (/course/66563/koine-greek-3/153/)	
ὁ ἁρμός	joint
ὁ Ἀρνί	Arni
τὸ ἄροτρον	plow
ὁ ἁρπαγμός	something to be grasped
ἄρρητος	unutterable
ὁ Ἀρτεμᾶς	Artemas
ὁ ἀρτέμων	mainsail
ἀρτιγέννητος	newborn
ἄρτιος	fully qualified
ὁ Ἀρφαξάδ	Arphaxad
ὁ Ἀρχέλαος	Archelaus
ἀρχιερατικός	high priestly
ὁ ἀρχιποίμην	lead shepherd
ὁ ἀρχιτέκτων	expert builder
ὁ ἀρχιτελώνης	head tax-collector
ἀσεβέω	to live ungodly
ἄσημος	"insignificant, unmarked; uncoined (money)"
τὸ ἀσθένημα	weakness
ὁ Ἀσιανός	Asian
ὁ Ἀσιάρχης	Asiarch
ἡ ἀσιτία	lack of appetite
ἄσιτος	without food
ἀσκέω	"to do one’s best at, practice; live as an ascetic"
ἀσμένως	gladly
ἄσοφος	fool
*** 3826 - 3850 (/course/66563/koine-greek-3/154/)	
ἡ ἀσπίς	"shield; asp, snake"
ἄσπονδος	irreconcilable
ἆσσον	close as possible
ἀστατέω	"to be unstable, homeless"
ὁ Ἀσύγκριτος	Asyncritus
ἀσύμφωνος	disagreement
ἀσύνθετος	covenant breaker; faithless
ἀσχήμων	"unpresentable, shameful, unworthy"
ἀσώτως	recklessly
ἀτακτέω	"to be lazy, idle"
ἄτακτος	"lazy, idle, disorderly"
ἄτομος	"indivisible, moment, flash"
ἡ Ἀττάλεια	Attalia
αὐγάζω	to shine
ἡ αὐγή	"glare, beams, break of day"
ὁ Αὔγουστος	Augustus; August (mo.)
αὐθεντέω	"to domineer, have authority over"
ὁ αὐλός	flute
αὐτάρκης	"content, sufficient"
αὐτοκατάκριτος	condemned
ὁ αὐτόπτης	eyewitness
αὐτόφωρος	in the act
ὁ αὐτόχειρ	with one’s own hands; the very doer
αὐχέω	to boast
αὐχμηρός	"drab, dusty, rough, squalid"
*** 3851 - 3875 (/course/66563/koine-greek-3/155/)	
ἀφανής	"that is not manifest, hidden, unseen"
ὁ ἀφανισμός	"disappearing, destruction, extermination, vanishing"
ἄφαντος	vanish out of sight
ἡ ἀφειδία	"harsh treatment, neglect"
ἡ ἀφελότης	singleness
ἡ ἀφθορία	integrity
ἀφικνέομαι	"to arrive at, reach"
ἀφιλάγαθος	not a friend of the good
ἡ ἄφιξις	arrival; departure
ἀφομοιόω	"to make like, liken"
ὁ ἀφρός	foam
ἀφυπνόω	to fall asleep
ὁ Ἀχαϊκός	Achaicus
ἡ ἀχλύς	mist
ἀχρειόω	"to become unprofitable, worthless"
ἄχρηστος	"useless, unprofitable, worthless"
ἀψευδής	who never lies
ὁ ἄψινθος	wormwood
ἡ ἄψινθος	wormwood
ἄψυχος	"lifeless, inanimate; faint-hearted"
ὁ Βάαλ	Baal
ὁ βαθμός	"degree; step; grade, rank"
βαθύνω	to dig deep
τὸ βάϊον	branch
ὁ Βαλάκ	"Bela, Balak"
*** 3876 - 3900 (/course/66563/koine-greek-3/156/)	
ὁ Βαράκ	Barak
ὁ Βαραχίας	"Berekiah, Barachias"
ὁ Βαριησοῦς	Bar-Jesus
ὁ Βαριωνᾶ	Bar-Jona
ὁ Βαρτιμαῖος	Bartimaeus
βαρύτιμος	very expensive
ὁ βασανιστής	tormentor
ἡ βάσις	"foot, pedestal, foundation"
βασκαίνω	to bewitch; begrudge; deceive
ὁ βάτραχος	frog
βατταλογέω	to babble
βδελυκτός	"detestable, abominable"
ὁ Βελιάρ	Belial
ἡ βελόνη	"pin, point, needle"
τὸ βέλος	arrow
βελτίων	"better, well, very well (irreg. compv.)"
Βεροιαῖος	Berean
ἡ Βηθζαθά	Bethzatha
ὁ βήρυλλος	beryl
βίαιος	mighty
ὁ βιαστής	violent person
βιβρώσκω	to eat
βιόω	to live
ἡ βίωσις	way of life
βλαβερός	harmful
*** 3901 - 3925 (/course/66563/koine-greek-3/157/)	
ὁ Βλάστος	Blastus
τὸ βλέμμα	what is seen
βλητέος	must be put
ὁ Βοανηργές	Boanerges
ἡ βοή	cry
βοηθός	helpful; (subst) helper
ἡ βολή	"throw, stroke, glance"
ὁ Βόος	Boaz
ὁ βόρβορος	"mud, muck"
ὁ Βοςόρ	Besor; Bosor
ἡ βοτάνη	pasture; herb
ὁ βότρυς	bunch of grapes
βραβεύω	to arbitrate; to act like a judge
βραδυπλοέω	to sail slowly
ἡ βραδύτης	slowness
ὁ βρόχος	"snare, restriction"
βρύχω	"to grind, gnash"
βρύω	"to swell with, teem with; abound; send forth"
βρώσιμος	edible; food
ὁ βυθός	deep sea
ἡ βύσσος	fine linen
ὁ βωμός	altar
τὸ Γαββαθᾶ	Gabbatha
ἡ γάγγραινα	gangrene
ὁ Γάδ	Gad
*** 3926 - 3950 (/course/66563/koine-greek-3/158/)	
Γαδαρηνός	Gadarene
ἡ Γάζα	Gaza
ἡ γάζα	treasure
ὁ Γαλάτης	Galatian
γαμίσκω	to give in marriage
ὁ Γεδεών	Gideon
ἡ γείτων	neighbor
ὁ γέλως	laughter
γενεαλογέω	to descend from
ἡ γενετή	birth
ἡ γερουσία	council
ὁ γέρων	old man
γεωργέω	to cultivate
τὸ γεώργιον	"farming, field"
τὸ γῆρας	old age
τὸ γλεῦκος	new wine
ὁ γναφεύς	cloth refiner
γνησίως	genuinely
ὁ γνόφος	darkness
ὁ γνώστης	one who knows; medium
ὁ γογγυστής	grumbler
ὁ γόης	"sorcerer, enchanter; impostor; swindler"
τὸ Γόμορρα	Gomorrah
γραπτός	"written, written form, engraved"
γραώδης	"foolish, silly"
*** 3951 - 3975 (/course/66563/koine-greek-3/159/)	
ἡ γυμνασία	exercise
γυμνιτεύω	to be naked
τὸ γυναικάριον	idle woman
γυναικεῖος	female; feminine
ὁ Γώγ	Gog
δαιμονιώδης	demonic
ὁ δαίμων	"god, deity; fortune; demon"
δάκνω	to bite
δακρύω	to weep
ὁ δακτύλιος	ring
ἡ Δαλμανουθά	Dalmanutha
ἡ Δαλματία	Dalmatia
ἡ δάμαλις	heifer
ἡ Δάμαρις	Damaris
Δαμασκηνός	of Damascus
τὸ δάνειον	"loan, debt"
ὁ Δανιήλ	Daniel
ὁ δανιστής	moneylender
ἡ δαπάνη	"cost, expense"
τὸ δεῖγμα	example
ἡ δειλία	"fear, cowardice"
δειλιάω	to be afraid
ὁ δεῖνα	"such a one, a certain one"
ἡ δεισιδαιμονία	religion; fear of the gods; superstition
