и	and
наваливаться/навалиться	to fall on; lean on (на +a)
надзор (за +inst)	supervision; surveillance
надлежащий	"proper, fitting, appropriate"
наказывать/наказать	to punish (+a)
накидывать/накинуть	to throw on (+a)
нападать/напасть	to attack; come upon (на +a)
направленный	directed; purposeful
пугать/на-	to frighten (+a)
нарастать/нарасти	to grow (on); increase
насущный	"vital, essential"
начисто	completely (coll)
незаметный	imperceptible
неизменный	invariable
неограниченный	unlimited
нервно	nervously
неустанно	tirelessly
обзор	"survey, review"
окрашивать/окрасить	"to paint, colour (+a)"
окрестность	"environs, vicinity"
отрицательно	negatively; unfavourably
отсталый	backward
официально	officially
пень	tree-stump
переезжать/переехать	to drive across; move (house)
пересекать/пересечь	"to intersect, cross, cut across (+a)"
писаться	to be written; be spelt
плевать/плюнуть	to spit
поговорка	"saying, proverbial phrase"
губить/по- (+a)	"to destroy, ruin"
подавленный	suppressed; depressed
подносить/поднести (+a)	"to take to; (+d) present to, bring"
подъезжать/подъехать (к +d)	to drive up to
покупатель	customer
полнота	fullness; stoutness
поминать/помянуть	to mention; recall (+a)
по-настоящему	"properly, in the right way"
популярность	popularity
поучительный	instructive
почтительно	respectfully
превосходный	superb
предвидеть (+a)	to foresee
престол	throne
привычно	"in the customary way, as usual"
приготовление	preparation
приезжий	"non-resident, passing through, visiting; (as noun) newcomer, visitor"
приключение	adventure
проспект	avenue (wide street)
пятиться/по-	"to back away, step back"
равнодушно	with indifference
радовать/об-	"to gladden, please (+a)"
разгар	"height, climax"
раздражать/раздражить	"to irritate, annoy (+a)"
разочарование	disappointment
раскидываться/раскинуться	to stretch out
распад	disintegration
рёв	roar
революционер	revolutionary (noun)
родственный	"family (adj), kindred"
рычать/за-	to growl
самодеятельность	individual initiative; amateur activity
сбыт	sale
варить/с-	"to boil, cook (+a)"
сваривать/сварить	to weld
свинцовый	"lead (adj), leaden"
сговариваться/сговориться (с +inst)	to make an arrangement (with s.o.)
сдвиг	"shift, displacement; change, improvement"
седло	saddle
сжимать/сжать	to squeeze (+a)
скупой	miserly
совершенство	perfection
созревать/созреть	"to mature, ripen"
солёный	salted
солидарность	solidarity
сопровождаться (+inst)	to be accompanied by
сопротивляться (+d)	to resist
срываться/сорваться	"to break away; (coll) fail, go wrong"
ссориться/по- (с +inst)	to quarrel (with s.o.)
стихийный	elemental; spontaneous
страстно	passionately
страстный	passionate
строчка	line (of text); stitch
стягивать/стянуть	to tighten; pull off (+a)
табуретка	stool
тайком	secretly
творение	creation
текущий	current (adj)
терпение	patience
тополь	poplar
тост	toast
увозить/увезти (+a)	to take away (by transport)
увлекательный	"fascinating, absorbing"
увы	alas!
удивлять/удивить (+a)	to surprise
устав	"regulations, statutes"
установленный	"established, prescribed"
устоять	to remain standing; hold out
учебник	textbook
хлопоты	"trouble, efforts"
цемент	cement
чайный	tea (adj)
чинить/по- (+a)	to repair
чуять/по- (+a)	"to scent, smell; sense, feel"
ширина	width; gauge
эпизод	episode
яростный	"furious, frenzied"
авария	breakdown; accident
авторитетный	"authoritative, trustworthy"
адский	hellish
актив	the activists; assets (financial)
аппетит	appetite
арабский	"Arab (adj), Arabian"
астрономический	astronomic(al)
балка	"beam, girder; gully"
безжалостно	"pitilessly, ruthlessly"
беззвучно	soundlessly
безоговорочный	unconditional
белокурый	"blond, fair-haired"
берёзовый	birch (adj)
бесконечность	infinity
бессильный	powerless
бессовестный	"shameless, unscrupulous"
битый	beaten; broken; whipped
бородка	small beard
бывало	"used to, would (repetition) (particle) (coll)"
ванна	bath
вежливый	polite
верблюд	camel
вертикально	vertically
виновник	culprit
внутрь (+g)	inside; inwards
возглас	exclamation
возрождение	"rebirth, revival, renaissance"
восторженный	"enthusiastic, rapturous"
восхищение	"rapture, admiration"
впадина	"hollow, depression"
выкладывать/выложить	"(+a) to lay out, put out, set out; (+a +inst) face, cover (sth with sth)"
